label,theta,d_min,beta,gamma,se_gamma,cond_mult_exp_gamma,converged,n_countries,iters,mult_median,mult_USA,mult_CAN,mult_p25,mult_p75
CEPII_baseline,,,-0.8298073106299548,-5.704633813600537,0.8077745818816818,0.003330496744472823,True,197,77,0.002763696460550808,0.002388910070019895,0.005164800491235361,0.0024067433478977924,0.003610777926688145
theta-3.0_dmin0.5,-3.0,0.5,-0.8336665331857972,-8.210697913762766,0.8799095844123441,0.0002717310102844268,True,197,201,0.00018304181639484073,0.0003703145276588064,0.002269284008666585,0.00012481126827023646,0.00036673453509864916
theta-3.0_dmin5.0,-3.0,5.0,-0.8333866427057225,-6.522626909700453,0.8639633775156179,0.0014698029868851056,True,197,102,0.0010736632570463509,0.0011716395356485458,0.0031045392545011826,0.0009863297628179518,0.0013286789583420125
theta-3.0_dmin50.0,-3.0,50.0,-0.8321798323135587,-5.385605747852249,0.8439249104900267,0.004582063906051362,True,197,72,0.00395308454835053,0.003909807718672706,0.0055248919177718365,0.003824483544901239,0.004285385377373847
theta-3.0_dmin500.0,-3.0,500.0,-0.8303801261726066,-5.2026312259756295,0.8548573090553379,0.005502068172976042,True,197,70,0.004903056889102371,0.00482610777222734,0.005590116396717746,0.004788738138506984,0.005258629914086106
theta-5.0_dmin0.5,-5.0,0.5,-0.8336663590538191,-9.193301918180238,0.8825996105964667,0.00010171844361759453,True,197,313,0.00010025969487445987,0.0002686579653826625,0.0021006391663558432,4.672651831339761e-05,0.0002643358491157458
theta-5.0_dmin5.0,-5.0,5.0,-0.8335024582096963,-7.4828958463227035,0.8693600666288249,0.0005626257764390558,True,197,150,0.00038475718051267014,0.0005101671986964541,0.0022427121612433594,0.00029840500973877,0.0005898378481291062
theta-5.0_dmin50.0,-5.0,50.0,-0.8329232072636717,-6.2226410714645635,0.8559897358484353,0.001983998410131944,True,197,95,0.0015371066937346725,0.0015638538510522463,0.0032798998964058248,0.0014329789668126886,0.0018117351286695003
theta-5.0_dmin500.0,-5.0,500.0,-0.8310622113153043,-5.535192787251669,0.8505135607183375,0.003945447930599692,True,197,81,0.003393793436531749,0.0033276670394069433,0.0043677927217671214,0.0032811703265480186,0.0037377690274508586
theta-7.0_dmin0.5,-7.0,0.5,-0.8336663590537045,-9.433132784083893,0.8833966861347715,8.002809606904694e-05,True,197,345,9.225338143346297e-05,0.0002554561403332759,0.0020817830220035216,3.933380006913128e-05,0.00025260625852511196
theta-7.0_dmin5.0,-7.0,5.0,-0.8335024582096542,-7.722679560893277,0.8698412126713402,0.00044267284443418156,True,197,167,0.000307305673685494,0.0004334285093609922,0.002121117698923781,0.00022326978061729144,0.0005016434781055101
theta-7.0_dmin50.0,-7.0,50.0,-0.8329232072636398,-6.4622581459227035,0.8563433800873091,0.0015612661599606664,True,197,105,0.0011705486918957332,0.0012140146571316581,0.002876724828583081,0.0010727447754731705,0.0014448016131745406
theta-7.0_dmin500.0,-7.0,500.0,-0.8310622113152383,-5.774274486537589,0.8511589602427864,0.0031064506130161823,True,197,90,0.0026081545032511705,0.002544509110474883,0.003575216284464178,0.0024977666880615294,0.0029487082909407524
