iso3,area_km2,d_HM,d_eff_t-5_dmin1,d_eff_t-5_dmin5,d_eff_t-5_dmin10,d_eff_t-5_dmin50,d_eff_t-5_dmin100,d_eff_t-5_dmin200
USA,9469009.104998708,1163.1939466773817,6.289799380899985,29.81539893575921,57.03942532305792,169.8990942393335,280.97636456159927,430.77387971214023
RUS,16923965.72327555,1555.073551075938,6.291229124066943,30.10653038813141,59.05778038813141,185.9154183843286,308.27416838432856,481.2133857181489
CAN,9916643.681172984,1190.3706785586135,6.289898533155605,29.835588813809782,57.32510550610196,171.00982146811964,283.82115995526834,435.0663836693511
BRA,8523997.165858809,1103.6249614966569,6.289582047952392,29.771144514305913,56.41323970719545,167.46447869687063,274.7408254471739,421.3650918662443
AUS,7723183.143068251,1050.504780645481,6.289388242980797,29.731680976964608,55.85484353744197,165.2934291561349,269.1803317698361,412.9748782265791
CHN,9394405.830446983,1158.6026701671908,6.289782629974076,29.811988028471223,56.99116209848884,169.7114463699339,280.49576070075483,430.04869786633276
IND,3165389.0057574804,672.5327087153261,6.28800924039664,29.450881575765752,51.88162368280901,149.84551312825215,229.61511790006068,353.2750356713423
JPN,374167.98425907677,231.22414301295373,5.9620288316189525,21.68612651367084,33.92200151367084,98.2838357229042,151.4719717063536,221.01335387963394
FRA,637161.2161776394,301.7341962810664,6.014411486864031,24.56790922434852,36.80378422434852,109.4207407782744,168.4346909838375,264.28069098383753
DEU,357176.7668533978,225.91312714507023,5.958083222442476,21.46906252073917,33.70493752073917,97.44497265690605,150.19429189943858,215.9368708870983
NLD,37337.03394394585,73.04151517859093,5.249008046869875,15.221119881364405,23.567411381395967,65.49471722541914,69.81602367174172,69.81602367174172
BEL,30629.734380542333,66.1563416993308,5.151019244534627,14.885887863792336,22.80174606019654,63.23489739805006,63.23489739805006,63.23489739805006
KOR,98741.41387571572,118.78170015010264,5.729826140533094,17.090545135276564,28.35538471392134,76.49850861984179,113.53633572869802,113.53633572869802
GBR,243280.44674586668,186.4461709530193,5.928762808346068,19.856027404103383,32.09190240410339,91.21125528522876,140.69966145182167,178.2127636993074
ITA,301351.37690756936,207.50877013614726,5.944410433336221,20.71686683556814,32.95274183556814,94.53804567113102,145.7667255176935,198.34524478985148
ESP,507461.4824634778,269.2783318782355,5.990299686108047,23.241421091648792,35.47729609164879,104.29440965823025,160.62673039870094,256.47273039870095
MEX,1966640.452981871,530.105549141174,6.1840709508731635,27.978437884479533,46.137440714209035,135.09818296039865,207.2539846833802,319.2203622794356
ARG,2789349.098314692,631.3225500263089,6.259266118321784,29.04242495497805,50.274232414937195,145.69333690081365,223.2409833679614,343.5703023595381
CHL,738017.5908693884,324.7380833582432,6.031501314912783,25.508090106148675,37.74396510614868,113.05415324087475,173.96877386556972,269.8147738655697
EGY,1005118.657888946,378.9732304412443,6.07179317231661,26.389743973130866,39.960583899224176,119.27801275188988,183.38297330066368,282.86221224210607
