label,n_obs,n_intra,coef_log_d,se_log_d,coef_home,se_home,home_multiplier,n_zero,converged,theta,d_min,spec
PANEL_A1_baseline_cepii,165552,584,-0.8235105346691665,2.0167556380120694e-07,-5.636297024779837,3.80023466987159e-06,0.003566048978495333,79385,True,,,A1_panel_baseline_cepii
PANEL_A2_baseline_polygon,165621,653,-0.8242794439768286,2.0162453676168383e-07,-5.354847253209563,3.7834015457098425e-06,0.004725191200175366,79454,True,,,A2_panel_baseline_polygon
PANEL_Bprime_theta-3.0_dmin0.5km,165621,653,-0.8274338858533885,2.0177968858377188e-07,-8.233052950813168,3.927003800487164e-06,0.00026572384881043615,79454,True,-3.0,0.5,B_prime_panel
PANEL_Bprime_theta-3.0_dmin1.0km,165621,653,-0.8274358830541996,2.0178849176039944e-07,-7.675064514475339,3.888513710911481e-06,0.0004642606051027809,79454,True,-3.0,1.0,B_prime_panel
PANEL_Bprime_theta-3.0_dmin2.0km,165621,653,-0.8274315502648167,2.0180343447084146e-07,-7.136994234975359,3.854994977032216e-06,0.0007951385076902406,79454,True,-3.0,2.0,B_prime_panel
PANEL_Bprime_theta-3.0_dmin5.0km,165621,653,-0.827226709343699,2.0184613001752595e-07,-6.527378452867528,3.820377101879602e-06,0.0014628357202882412,79454,True,-3.0,5.0,B_prime_panel
PANEL_Bprime_theta-3.0_dmin10.0km,165621,653,-0.8269686401527299,2.0185165082174234e-07,-6.102323425594907,3.8009564511253145e-06,0.0022376626323782176,79454,True,-3.0,10.0,B_prime_panel
PANEL_Bprime_theta-3.0_dmin50.0km,165621,653,-0.826136450317596,2.0172576221174487e-07,-5.354694839496942,3.778310184274806e-06,0.004725911438994773,79454,True,-3.0,50.0,B_prime_panel
PANEL_Bprime_theta-3.0_dmin100.0km,165621,653,-0.8253153950501856,2.0168653463955056e-07,-5.215355030792499,3.775795229736892e-06,0.005432504427713072,79454,True,-3.0,100.0,B_prime_panel
PANEL_Bprime_theta-3.0_dmin500.0km,165621,653,-0.8242794439768647,2.0162453656279108e-07,-5.111588334554076,3.7763684802809307e-06,0.006026503214426273,79454,True,-3.0,500.0,B_prime_panel
PANEL_Bprime_theta-5.0_dmin0.5km,165621,653,-0.8274337612517518,2.0177968610832802e-07,-9.208311109150232,4.002957201837064e-06,0.00010020313231731854,79454,True,-5.0,0.5,B_prime_panel
PANEL_Bprime_theta-5.0_dmin1.0km,165621,653,-0.8274355366720377,2.0178848591239363e-07,-8.650322885294726,3.956934787965645e-06,0.0001750703114016115,79454,True,-5.0,1.0,B_prime_panel
PANEL_Bprime_theta-5.0_dmin2.0km,165621,653,-0.827436845579336,2.0180288528015252e-07,-8.111014689693032,3.915807478935906e-06,0.0003002140944422363,79454,True,-5.0,2.0,B_prime_panel
PANEL_Bprime_theta-5.0_dmin5.0km,165621,653,-0.8273256066223069,2.0184643876544472e-07,-7.484584876373132,3.871135409970453e-06,0.0005616762866795998,79454,True,-5.0,5.0,B_prime_panel
PANEL_Bprime_theta-5.0_dmin10.0km,165621,653,-0.827195383726134,2.0187059560417593e-07,-7.042869545597562,3.843998313954063e-06,0.0008736160808317383,79454,True,-5.0,10.0,B_prime_panel
PANEL_Bprime_theta-5.0_dmin50.0km,165621,653,-0.8268331926244259,2.0183917936240649e-07,-6.204817662057805,3.8053406166038915e-06,0.002019677038953195,79454,True,-5.0,50.0,B_prime_panel
PANEL_Bprime_theta-5.0_dmin100.0km,165621,653,-0.8265001530229945,2.0179075814190846e-07,-5.868287406893338,3.793486491574988e-06,0.0028277119095010436,79454,True,-5.0,100.0,B_prime_panel
PANEL_Bprime_theta-5.0_dmin500.0km,165621,653,-0.8250056055452284,2.0166925063672294e-07,-5.461633041818114,3.7840291776632255e-06,0.004246615179067655,79454,True,-5.0,500.0,B_prime_panel
PANEL_Bprime_theta-7.0_dmin0.5km,165621,653,-0.827433761251739,2.0177968611202108e-07,-9.446348968403473,4.023412817517636e-06,7.897738846698455e-05,79454,True,-7.0,0.5,B_prime_panel
PANEL_Bprime_theta-7.0_dmin1.0km,165621,653,-0.8274355366720237,2.0178848591869426e-07,-8.888361255304549,3.975616745920304e-06,0.0001379855959671254,79454,True,-7.0,1.0,B_prime_panel
PANEL_Bprime_theta-7.0_dmin2.0km,165621,653,-0.827436845579323,2.0180288528963358e-07,-8.349053436252037,3.93270198793357e-06,0.00023662038874017516,79454,True,-7.0,2.0,B_prime_panel
PANEL_Bprime_theta-7.0_dmin5.0km,165621,653,-0.8273256066222979,2.0184643876405256e-07,-7.722591621478502,3.885797675953936e-06,0.000442711774536778,79454,True,-7.0,5.0,B_prime_panel
PANEL_Bprime_theta-7.0_dmin10.0km,165621,653,-0.8271953837261268,2.018705956020516e-07,-7.280838827910311,3.857074139178089e-06,0.0006886076980054015,79454,True,-7.0,10.0,B_prime_panel
PANEL_Bprime_theta-7.0_dmin50.0km,165621,653,-0.8268331926244047,2.0183917944252019e-07,-6.442682748483537,3.815597042415857e-06,0.0015921296626576341,79454,True,-7.0,50.0,B_prime_panel
PANEL_Bprime_theta-7.0_dmin100.0km,165621,653,-0.8265001530229649,2.017907582686866e-07,-6.106056683796129,3.802672561139593e-06,0.0022293244340123117,79454,True,-7.0,100.0,B_prime_panel
PANEL_Bprime_theta-7.0_dmin500.0km,165621,653,-0.8250056055451903,2.0166925082388132e-07,-5.698972364204863,3.792028300860926e-06,0.003349405658678866,79454,True,-7.0,500.0,B_prime_panel
