label,n_obs,n_intra,n_zero,coef_log_d,se_log_d,p_log_d,coef_home,se_home,p_home,ci_home_lo,ci_home_hi,home_multiplier,converged,theta,d_min,spec
A1_panel_baseline_cepii,165552,584,79385,-0.8235105346691406,0.022570982146283537,0.0,-5.636297024779132,0.8438510729268963,2.4015900379481536e-11,-7.2902147360313325,-3.9823793135269323,0.003566048978497845,True,,,A1_panel_baseline_cepii
A2_panel_baseline_polygon,165621,653,79454,-0.824279443977117,0.02257962583410166,0.0,-5.3548472532289,0.8772334575141697,1.0328826682837189e-09,-7.074193235990221,-3.6355012704675795,0.004725191200083993,True,,,A2_panel_baseline_polygon
Bprime_theta-3.0_dmin0.5,165621,653,79454,-0.8274338858530488,0.02287646408662746,0.0,-8.233052950800973,0.9402684474805081,0.0,-10.07594524366216,-6.390160657939785,0.00026572384881367656,True,-3.0,0.5,B_prime_panel
Bprime_theta-3.0_dmin1.0,165621,653,79454,-0.8274358830539249,0.022873728548699814,0.0,-7.675064514465003,0.9367076295642431,2.220446049250313e-16,-9.510977732454807,-5.839151296475199,0.00046426060510757936,True,-3.0,1.0,B_prime_panel
Bprime_theta-3.0_dmin2.0,165621,653,79454,-0.8274315502646106,0.022868284155970434,0.0,-7.136994234967164,0.9308825012391284,1.7541523789077473e-14,-8.961490411234418,-5.3124980586999095,0.0007951385076967568,True,-3.0,2.0,B_prime_panel
Bprime_theta-3.0_dmin5.0,165621,653,79454,-0.8272267093436254,0.022834353388970476,0.0,-6.5273784528648315,0.9150448637806484,9.79216707719388e-13,-8.320833430113263,-4.7339234756164,0.0014628357202921857,True,-3.0,5.0,B_prime_panel
Bprime_theta-3.0_dmin10.0,165621,653,79454,-0.8269686401527546,0.02279038877481171,0.0,-6.102323425596958,0.902981805924314,1.3993917136190248e-11,-7.872135243903551,-4.332511607290365,0.0022376626323736284,True,-3.0,10.0,B_prime_panel
Bprime_theta-3.0_dmin50.0,165621,653,79454,-0.8261364503178494,0.022684229352630415,0.0,-5.354694839514392,0.8827399515722885,1.311404096426827e-09,-7.084833352310708,-3.6245563267180745,0.004725911438912305,True,-3.0,50.0,B_prime_panel
Bprime_theta-3.0_dmin100.0,165621,653,79454,-0.8253153950502103,0.022620191200629407,0.0,-5.215355030795618,0.8759879397044953,2.6217343851442365e-09,-6.9322598435078735,-3.4984502180833625,0.005432504427696126,True,-3.0,100.0,B_prime_panel
Bprime_theta-3.0_dmin500.0,165621,653,79454,-0.8242794439771244,0.02257962572748447,0.0,-5.111588334572577,0.876606473694645,5.506003653010794e-09,-6.82970545162874,-3.393471217516414,0.006026503214314778,True,-3.0,500.0,B_prime_panel
Bprime_theta-5.0_dmin0.5,165621,653,79454,-0.8274337612513265,0.022876461125646484,0.0,-9.208311109136094,0.9419581556341714,0.0,-11.054515169122846,-7.362107049149342,0.00010020313231873521,True,-5.0,0.5,B_prime_panel
Bprime_theta-5.0_dmin1.0,165621,653,79454,-0.8274355366716905,0.022873719042074376,0.0,-8.650322885282723,0.9379907381467492,0.0,-10.488750949882492,-6.811894820682953,0.00017507031140371284,True,-5.0,1.0,B_prime_panel
Bprime_theta-5.0_dmin2.0,165621,653,79454,-0.8274368455790659,0.022869161442770788,0.0,-8.11101468968333,0.9321348781980622,0.0,-9.937965479685163,-6.284063899681498,0.0003002140944451491,True,-5.0,2.0,B_prime_panel
Bprime_theta-5.0_dmin5.0,165621,653,79454,-0.8273256066221499,0.022849310763934472,0.0,-7.484584876367501,0.9200095307783539,4.440892098500626e-16,-9.28777042212667,-5.681399330608333,0.0005616762866827626,True,-5.0,5.0,B_prime_panel
Bprime_theta-5.0_dmin10.0,165621,653,79454,-0.8271953837260527,0.02282278400675393,0.0,-7.04286954559487,0.9106143088759678,1.0436096431476471e-14,-8.8276407947986,-5.2580982963911405,0.0008736160808340902,True,-5.0,10.0,B_prime_panel
Bprime_theta-5.0_dmin50.0,165621,653,79454,-0.8268331926245011,0.022771241711220063,0.0,-6.2048176620625775,0.899216806629667,5.191180818542307e-12,-7.967250217349843,-4.442385106775312,0.002019677038943557,True,-5.0,50.0,B_prime_panel
Bprime_theta-5.0_dmin100.0,165621,653,79454,-0.8265001530231723,0.022724866708581558,0.0,-5.868287406904245,0.890145353331365,4.324673952282865e-11,-7.612940240439402,-4.123634573369088,0.0028277119094702024,True,-5.0,100.0,B_prime_panel
